Pollutant:,CH4,Unit: grams of CH4,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,2051.0,2052.0,2053.0,2054.0,2055.0,2056.0,2057.0,2058.0,2059.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,2066.0,2067.0,2068.0,2069.0,2070.0
agriculture and forestry 01T03,2579019456443.135,2588375310746.6787,2615958967966.7773,2646616984734.1294,2632994664715.4824,2634145578605.7944,2642355699919.6636,2650565821233.536,2658775942547.4067,2666986063861.2764,2675196185175.1455,2681931868870.2407,2688667552565.334,2695403236260.4243,2702138919955.518,2708874603650.6084,2715874723864.9043,2722874844079.1914,2729874964293.4824,2736875084507.7783,2743875204722.0664,2750610621737.3486,2757346038752.6274,2764081455767.9116,2770816872783.1943,2777552289798.4746,2784074373846.6357,2790596457894.797,2797118541942.9595,2803640625991.12,2810162710039.2817,2815357239337.915,2820551768636.546,2825746297935.183,2830940827233.8174,2836135356532.454,2841329885831.09,2846524415129.7266,2851718944428.3613,2856913473726.996,2862108003025.633,2867302532324.2676,2872497061622.9023,2877691590921.539,2882886120220.174,2888080649518.8086,2893275178817.4453,2898469708116.08,2903664237414.717,2908858766713.3516,2914053296011.9863,2919247825310.623,2924442354609.258,2929636883907.8945,2934831413206.5293,2940025942505.164
coal mining 05,0.0,0.0,0.0,0.0,4571428571.428572,5141485714.285715,6538941531.428573,8743218721.673145,9030870617.616192,9190717027.547998,9537700684.845469,9884684342.14306,10231667999.44053,10578651656.738123,10925635314.035593,11272618971.333063,11619602628.630655,11966586285.928125,12313569943.225718,12660553600.523188,13007537257.82078,13354520915.11825,13701504572.415842,14048488229.713312,14395471887.010904,14742455544.308374,15089439201.605967,15436422858.903437,15783406516.201029,16130390173.498497,16477373830.79609,16824357488.093561,17171341145.391153,17518324802.688625,17865308459.986095,18212292117.283688,18566014961.799976,18926607883.40085,19294204314.121807,19668940277.54251,20050954439.12027,20440388157.501125,20837385536.82752,21242093480.06188,21654661743.345867,22075242991.415413,22503992854.092026,22941069983.871277,23386636114.62981,23840856121.47253,24303898081.7422,24775933337.213932,25257136557.49768,25747685804.672115,26247762599.173843,26757551986.96633
oil and gas extraction 06,0.0,0.0,0.0,0.0,4571428571.428572,5141485714.285715,6538941531.428573,8743218721.673145,9030870617.616192,9190717027.547998,9537700684.845469,9884684342.14306,10231667999.44053,10578651656.738123,10925635314.035593,11272618971.333063,11619602628.630655,11966586285.928125,12313569943.225718,12660553600.523188,13007537257.82078,13354520915.11825,13701504572.415842,14048488229.713312,14395471887.010904,14742455544.308374,15089439201.605967,15436422858.903437,15783406516.201029,16130390173.498497,16477373830.79609,16824357488.093561,17171341145.391153,17518324802.688625,17865308459.986095,18212292117.283688,18566014961.799976,18926607883.40085,19294204314.121807,19668940277.54251,20050954439.12027,20440388157.501125,20837385536.82752,21242093480.06188,21654661743.345867,22075242991.415413,22503992854.092026,22941069983.871277,23386636114.62981,23840856121.47253,24303898081.7422,24775933337.213932,25257136557.49768,25747685804.672115,26247762599.173843,26757551986.96633
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
